ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
5524	1957	Graduation	Single	58138	0	0	04-09-2012	58	635	88	546	172	88	88	3	8	10	4	7	0	0	0	0	0	0	3	11	1
2174	1954	Graduation	Single	46344	1	1	08-03-2014	38	11	1	6	2	1	6	2	1	1	2	5	0	0	0	0	0	0	3	11	0
4141	1965	Graduation	Together	71613	0	0	21-08-2013	26	426	49	127	111	21	42	1	8	2	10	4	0	0	0	0	0	0	3	11	0
6182	1984	Graduation	Together	26646	1	0	10-02-2014	26	11	4	20	10	3	5	2	2	0	4	6	0	0	0	0	0	0	3	11	0
5324	1981	PhD	Married	58293	1	0	19-01-2014	94	173	43	118	46	27	15	5	5	3	6	5	0	0	0	0	0	0	3	11	0
7446	1967	Master	Together	62513	0	1	09-09-2013	16	520	42	98	0	42	14	2	6	4	10	6	0	0	0	0	0	0	3	11	0
965	1971	Graduation	Divorced	55635	0	1	13-11-2012	34	235	65	164	50	49	27	4	7	3	7	6	0	0	0	0	0	0	3	11	0
6177	1985	PhD	Married	33454	1	0	08-05-2013	32	76	10	56	3	1	23	2	4	0	4	8	0	0	0	0	0	0	3	11	0
4855	1974	PhD	Together	30351	1	0	06-06-2013	19	14	0	24	3	3	2	1	3	0	2	9	0	0	0	0	0	0	3	11	1
5899	1950	PhD	Together	5648	1	1	13-03-2014	68	28	0	6	1	1	13	1	1	0	0	20	1	0	0	0	0	0	3	11	0
1994	1983	Graduation	Married		1	0	15-11-2013	11	5	5	6	0	2	1	1	1	0	2	7	0	0	0	0	0	0	3	11	0
387	1976	Basic	Married	7500	0	0	13-11-2012	59	6	16	11	11	1	16	1	2	0	3	8	0	0	0	0	0	0	3	11	0
2125	1959	Graduation	Divorced	63033	0	0	15-11-2013	82	194	61	480	225	112	30	1	3	4	8	2	0	0	0	0	0	0	3	11	0
8180	1952	Master	Divorced	59354	1	1	15-11-2013	53	233	2	53	3	5	14	3	6	1	5	6	0	0	0	0	0	0	3	11	0
2569	1987	Graduation	Married	17323	0	0	10-10-2012	38	3	14	17	6	1	5	1	1	0	3	8	0	0	0	0	0	0	3	11	0
2114	1946	PhD	Single	82800	0	0	24-11-2012	23	1006	22	115	59	68	45	1	7	6	12	3	0	0	1	1	0	0	3	11	1
9736	1980	Graduation	Married	41850	1	1	24-12-2012	51	53	5	19	2	13	4	3	3	0	3	8	0	0	0	0	0	0	3	11	0
4939	1946	Graduation	Together	37760	0	0	31-08-2012	20	84	5	38	150	12	28	2	4	1	6	7	0	0	0	0	0	0	3	11	0
6565	1949	Master	Married	76995	0	1	28-03-2013	91	1012	80	498	0	16	176	2	11	4	9	5	0	0	0	1	0	0	3	11	0
2278	1985	2n Cycle	Single	33812	1	0	03-11-2012	86	4	17	19	30	24	39	2	2	1	3	6	0	0	0	0	0	0	3	11	0
9360	1982	Graduation	Married	37040	0	0	08-08-2012	41	86	2	73	69	38	48	1	4	2	5	8	0	0	0	0	0	0	3	11	0
5376	1979	Graduation	Married	2447	1	0	06-01-2013	42	1	1	1725	1	1	1	15	0	28	0	1	0	0	0	0	0	0	3	11	0
1993	1949	PhD	Married	58607	0	1	23-12-2012	63	867	0	86	0	0	19	3	2	3	9	8	0	1	0	0	0	0	3	11	0
4047	1954	PhD	Married	65324	0	1	11-01-2014	0	384	0	102	21	32	5	3	6	2	9	4	0	0	0	0	0	0	3	11	0
1409	1951	Graduation	Together	40689	0	1	18-03-2013	69	270	3	27	39	6	99	7	7	1	5	8	0	0	0	0	0	0	3	11	0
7892	1969	Graduation	Single	18589	0	0	02-01-2013	89	6	4	25	15	12	13	2	2	1	3	7	0	0	0	0	0	0	3	11	0
2404	1976	Graduation	Married	53359	1	1	27-05-2013	4	173	4	30	3	6	41	4	5	1	4	7	0	0	0	0	0	0	3	11	0
5255	1986	Graduation	Single		1	0	20-02-2013	19	5	1	3	3	263	362	0	27	0	0	1	0	0	0	0	0	0	3	11	0
9422	1989	Graduation	Married	38360	1	0	31-05-2013	26	36	2	42	20	21	10	2	2	1	4	3	0	0	0	0	0	0	3	11	0
1966	1965	PhD	Married	84618	0	0	22-11-2013	96	684	100	801	21	66	0	1	6	9	10	2	0	0	1	0	0	0	3	11	0
6864	1989	Master	Divorced	10979	0	0	22-05-2014	34	8	4	10	2	2	4	2	3	0	3	5	0	0	0	0	0	0	3	11	0
3033	1963	Master	Together	38620	0	0	11-05-2013	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	3	11	0
5710	1970	Graduation	Together	40548	0	1	10-10-2012	31	110	0	5	2	0	3	2	2	1	4	5	0	1	0	0	0	0	3	11	0
7373	1952	PhD	Divorced	46610	0	2	29-10-2012	8	96	12	96	33	22	43	6	4	1	6	6	0	0	0	0	0	0	3	11	1
8755	1946	Master	Married	68657	0	0	20-02-2013	4	482	34	471	119	68	22	1	3	5	9	7	0	0	0	0	0	0	3	11	0
10738	1951	Master	Single	49389	1	1	29-08-2013	55	40	0	19	2	1	3	1	2	0	3	7	0	0	0	0	0	0	3	11	0
4339	1970	PhD	Married	67353	0	1	31-12-2013	37	702	17	151	0	8	35	5	5	6	12	2	0	0	0	0	0	0	3	11	0
10755	1976	2n Cycle	Married	23718	1	0	02-09-2013	76	6	3	14	15	7	36	3	3	1	2	7	0	0	0	0	0	0	3	11	0
8595	1973	Graduation	Widow	42429	0	1	11-02-2014	99	55	0	6	2	0	4	2	1	1	3	5	0	0	0	0	0	0	3	11	0
2968	1943	PhD	Divorced	48948	0	0	01-02-2013	53	437	8	206	160	49	42	2	7	10	5	6	1	0	0	0	0	0	3	11	1
8601	1980	Graduation	Married	80011	0	1	29-04-2013	3	421	76	536	82	178	102	2	8	6	5	4	0	0	0	0	0	0	3	11	0
503	1985	Master	Married	20559	1	0	12-03-2013	88	13	1	29	3	0	7	2	2	0	3	8	0	0	0	0	0	0	3	11	0
8430	1957	Graduation	Together	21994	0	1	24-12-2012	4	9	0	6	3	1	3	1	0	0	3	5	0	0	0	0	0	0	3	11	0
7281	1959	PhD	Single		0	0	05-11-2013	80	81	11	50	3	2	39	1	1	3	4	2	0	0	0	0	0	0	3	11	0
2139	1975	Master	Married	7500	1	0	02-10-2013	19	3	1	10	3	2	12	3	2	0	3	5	0	0	0	0	0	0	3	11	0
1371	1976	Graduation	Single	79941	0	0	28-06-2014	72	123	164	266	227	30	174	1	2	4	9	1	0	0	0	0	0	0	3	11	0
9909	1996	2n Cycle	Married	7500	0	0	09-11-2012	24	3	18	14	15	22	50	3	3	1	3	9	0	0	0	0	0	0	3	11	1
7286	1968	Graduation	Together	41728	1	0	24-05-2013	92	13	6	15	3	5	13	1	2	0	2	10	0	0	0	0	0	0	3	11	0
7244	1951	Graduation	Single		2	1	01-01-2014	96	48	5	48	6	10	7	3	2	1	4	6	0	0	0	0	0	0	3	11	0
6566	1954	PhD	Married	72550	1	1	08-11-2012	39	826	50	317	50	38	38	9	5	2	12	8	0	0	0	0	0	0	3	11	0
8614	1957	Graduation	Widow	65486	0	1	12-05-2014	29	245	19	125	37	67	14	1	4	2	10	2	0	0	0	0	0	0	3	11	0
4114	1964	Master	Married	79143	0	0	11-08-2012	2	650	37	780	27	167	32	1	6	9	13	3	0	0	0	0	0	0	3	11	0
1331	1977	Graduation	Single	35790	1	0	02-01-2013	54	12	6	20	30	1	3	2	2	0	3	7	0	0	0	0	0	0	3	11	0
2225	1977	Graduation	Divorced	82582	0	0	07-06-2014	54	510	120	550	156	40	241	1	4	9	7	1	1	0	0	1	0	0	3	11	1
9381	1978	Graduation	Married	66373	1	1	12-06-2013	57	328	9	124	12	24	109	7	4	2	10	3	0	0	0	0	0	0	3	11	0
6260	1955	Master	Together	82384	0	0	19-11-2012	55	984	51	432	180	120	190	1	3	10	13	1	0	0	1	0	0	0	3	11	1
10383	1966	Graduation	Divorced	70287	0	0	02-04-2013	30	295	35	482	121	120	40	1	5	5	10	3	0	0	0	0	0	0	3	11	1
7437	1988	Graduation	Single	27938	1	0	28-04-2014	31	13	0	8	2	1	5	1	1	0	4	3	0	0	0	0	0	0	3	11	0
8557	1982	Graduation	Single		1	0	17-06-2013	57	11	3	22	2	2	6	2	2	0	3	6	0	0	0	0	0	0	3	11	0
8375	1968	PhD	Married	55954	0	1	03-03-2014	63	447	0	28	0	0	43	3	8	2	6	7	0	0	0	0	0	0	3	11	0
6853	1982	Master	Single	75777	0	0	04-07-2013	12	712	26	538	69	13	80	1	3	6	11	1	0	1	1	0	0	0	3	11	1
3076	1975	Graduation	Together	66653	1	1	07-09-2012	18	452	18	102	16	18	6	4	4	2	12	3	0	0	0	0	0	0	3	11	0
1012	1952	Graduation	Single	61823	0	1	18-02-2013	26	523	7	134	37	14	169	4	8	2	10	7	0	0	0	0	0	0	3	11	0
6518	1951	PhD	Widow	67680	0	1	11-06-2013	8	546	0	48	0	6	6	1	7	3	8	5	0	0	0	0	0	0	3	11	0
4137	1948	Graduation	Together	70666	0	0	06-12-2013	29	398	40	367	119	122	30	1	7	4	4	4	0	0	0	0	0	0	3	11	0
8082	1971	Graduation	Married	25721	1	0	21-05-2013	75	1	3	6	3	6	15	1	1	1	2	7	0	0	0	0	0	0	3	11	1
1386	1967	Graduation	Together	32474	1	1	11-05-2014	0	10	0	1	0	0	0	1	1	0	2	7	0	0	0	0	0	0	3	11	0
9369	1979	2n Cycle	Single	88194	0	1	19-03-2014	19	688	14	309	201	24	38	1	11	10	10	5	1	0	0	1	0	0	3	11	1
4477	1958	Graduation	Together	69096	0	1	27-09-2013	4	247	49	159	7	82	109	1	5	2	10	4	0	0	0	0	0	0	3	11	0
1357	1970	Graduation	Together	74854	1	2	08-04-2013	90	856	59	487	58	29	73	7	2	5	5	5	0	0	0	0	0	0	3	11	0
1402	1954	Master	Married	66991	0	0	11-09-2012	1	496	36	460	189	60	12	3	4	8	6	3	0	0	0	0	0	0	3	11	0
10629	1973	2n Cycle	Married		1	0	14-09-2012	25	25	3	43	17	4	17	3	3	0	3	8	0	0	0	0	0	0	3	11	0
6312	1959	Graduation	Married	65031	0	1	17-03-2013	29	258	107	291	84	37	86	4	10	3	13	7	0	0	0	0	0	0	3	11	0
8132	1975	PhD	Married	60631	1	1	05-04-2013	88	565	6	65	0	6	19	5	9	2	8	7	0	1	0	0	0	0	3	11	0
1050	1952	Graduation	Married	28332	0	0	30-04-2014	58	14	10	13	4	15	9	1	2	1	4	2	0	0	0	0	0	0	3	11	0
5846	1977	Graduation	Divorced	40246	1	0	19-12-2012	68	2	1	6	2	1	1	1	1	0	2	6	0	0	0	0	0	0	3	11	0
1859	1972	Master	Married	75251	0	0	27-08-2012	34	721	111	925	97	18	18	1	7	6	5	5	0	0	0	0	0	0	3	11	1
7503	1976	Graduation	Single	75825	0	0	12-10-2012	40	1032	105	779	137	105	51	0	5	8	9	4	1	0	0	0	0	0	3	11	1
10401	1976	2n Cycle	Together	26326	0	0	04-09-2013	12	1	0	5	0	3	9	1	0	0	3	3	0	0	0	0	0	1	3	11	0
1618	1965	Graduation	Together	56046	0	0	02-01-2013	9	577	0	64	0	0	51	2	10	1	8	8	1	0	0	0	0	0	3	11	1
3332	1985	Graduation	Single	29760	1	0	29-08-2012	87	64	4	68	7	5	17	4	3	1	4	8	0	0	0	0	0	0	3	11	0
2261	1969	Graduation	Married	26304	1	0	23-06-2013	5	4	1	5	2	0	4	1	1	0	2	7	0	0	0	0	0	0	3	11	0
5346	1973	2n Cycle	Married	23559	1	0	03-07-2013	87	25	5	19	7	0	23	3	3	0	3	7	0	0	0	0	0	0	3	11	0
4119	1963	Master	Together	38620	0	0	11-05-2013	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	3	11	0
535	1987	Graduation	Divorced	81361	0	0	25-02-2014	18	163	23	424	27	65	76	1	3	10	13	1	0	0	0	0	0	0	3	11	0
5268	1960	Graduation	Married	29440	1	1	11-08-2013	95	17	8	14	10	4	3	2	1	0	4	7	0	0	0	0	0	0	3	11	0
273	1970	Master	Married	36138	1	1	16-07-2013	48	130	0	16	0	0	5	5	3	1	4	7	0	1	0	0	0	0	3	11	0
4452	1957	Graduation	Single	50388	0	1	28-05-2014	3	292	6	37	0	3	34	4	6	1	6	7	0	1	0	1	0	0	3	11	1
8504	1973	Graduation	Married	79593	0	0	12-05-2014	70	350	60	568	110	133	145	1	5	6	7	2	0	0	1	0	0	0	3	11	0
771	1967	Graduation	Together	54178	0	1	21-01-2014	79	135	9	39	4	0	7	1	2	2	5	2	0	0	0	0	0	0	3	11	0
8996	1957	PhD	Married		2	1	19-11-2012	4	230	42	192	49	37	53	12	7	2	8	9	0	0	0	0	0	0	3	11	0
9235	1957	Graduation	Single		1	1	27-05-2014	45	7	0	8	2	0	1	1	1	0	2	7	0	0	0	0	0	0	3	11	0
5798	1973	Master	Together		0	0	23-11-2013	87	445	37	359	98	28	18	1	2	4	8	1	0	0	0	0	0	0	3	11	0
11178	1972	Master	Single	42394	1	0	23-03-2014	69	15	2	10	0	1	4	1	1	0	3	7	0	0	0	0	0	0	3	11	0
2230	1970	PhD	Married	23626	1	0	24-05-2014	84	27	2	14	0	0	0	3	3	1	3	5	0	0	0	0	0	0	3	11	0
7516	1983	Graduation	Married	30096	1	0	22-05-2014	30	5	3	11	12	5	9	1	2	0	3	6	0	0	0	0	0	0	3	11	0
7247	1960	Graduation	Widow	47916	0	1	22-11-2012	72	505	0	26	0	0	75	5	7	4	6	6	0	1	0	0	0	0	3	11	0
11100	1972	Graduation	Divorced	51813	1	1	11-04-2013	37	51	2	7	0	1	2	2	2	0	3	7	0	0	0	0	0	0	3	11	0
4646	1951	2n Cycle	Married	78497	0	0	01-12-2013	44	207	26	447	75	0	223	1	5	7	12	2	0	0	0	1	0	0	3	11	0
3037	1983	PhD	Married	50150	0	0	20-06-2013	32	135	46	92	65	61	11	2	5	2	7	5	0	0	0	0	0	0	3	11	0
